node,lon,lat,r,theta,degree,x_poincare,y_poincare
达州市,107.268051744195,30.6856336897958,4.670516619197075,3.6336387857251693,27,-0.8650089868256894,-0.46366149827327047
阳泉市,113.587520669607,37.8521510449692,4.9009802940980345,1.2373891473880168,9,0.3224312047487895,0.9309773482153028
南阳市,112.044468083102,32.6814265847975,4.577759534198053,4.832881149741883,34,0.11775513573643262,-0.9725504439684636
兴安盟,121.51939541344,45.6105995050888,4.888461805469018,0.9150335776316592,10,0.6006459439329388,0.7807312835477328
通辽市,121.33023451914,43.7275750892588,4.85071250072666,0.8440313689125363,13,0.6541403651156571,0.7357262126191079
自贡市,105.016160181348,29.1076306070098,4.74858079933817,3.6740958435253113,21,-0.8467384377039159,-0.49896982883461843
安康市,108.434473773879,32.4448813253684,4.838063945949664,3.3545147816363996,14,-0.9620523804334089,-0.20799499002189437
商丘市,115.165245153571,34.6905716222274,4.65737871238621,0.43476273745423555,28,0.8899152084195382,0.413275008166849
松原市,124.906998091119,45.2303091543001,4.85071250072666,0.74901958989087,13,0.7209875775968018,0.6703503488173909
中卫市,105.134898962007,37.2867317113915,4.8126671093981095,2.6046160541560095,16,-0.8454068135551889,0.5032937464223013
楚雄彝族自治州,101.320496776601,24.8767037117605,4.8126671093981095,3.80519265903083,16,-0.7750798488163387,-0.6060268175189735
攀枝花市,101.744005510821,26.5974384853411,4.8126671093981095,3.7152476920319897,16,-0.8263823208880255,-0.5339564919701361
湘潭市,112.339562285056,27.7724232984515,4.875911176787532,4.778347372888961,11,0.06491263959436795,-0.9827176719634076
岳阳市,113.709419146448,28.7591936648963,4.709710452779407,5.082828243535705,24,0.355561357916641,-0.9155255202303818
商洛市,110.431653288785,33.6793269802464,4.92592183071889,2.8482103453143957,7,-0.9434793065113685,0.2850251227664051
定西市,104.236301045301,34.4268121783944,4.735659467089594,2.9859241057013612,22,-0.9707179069167761,0.15234279851107208
咸阳市,108.560149371184,34.8633803821552,4.617740725913995,2.6916447055837374,31,-0.8828592232742787,0.4264129437277118
西宁市,101.69464753325,36.6808046939166,3.688216530583663,2.816278651579468,94,-0.9012985408779622,0.3040056950063772
兰州市,103.87406332385,36.0732550263761,3.9760311278222864,2.802217759189027,76,-0.9082345774070711,0.32063742105882687
常德市,111.763387671341,29.0210965069225,4.799918299958294,4.660673391433925,17,-0.05084858333707976,-0.982358409423509
